"value","market","date"
"2.93","2.917","2024-10-17"
"2.88","2.87","2024-10-16"
"2.91","2.906","2024-10-15"
"2.98","2.966","2024-10-11"
"3.01","2.991","2024-10-10"
"3.07","3.056","2024-10-09"
"3.06","3.051","2024-10-08"
"3.06","3.047","2024-10-07"
"3.01","3.009","2024-10-04"
"2.88","2.864","2024-10-03"
"2.8","2.792","2024-10-02"
"2.74","2.735","2024-10-01"
"2.73","2.715","2024-09-27"
"2.8","2.789","2024-09-26"
"2.79","2.78","2024-09-25"
"2.74","2.728","2024-09-24"
"2.74","2.727","2024-09-23"
"2.73","2.73","2024-09-20"
"2.72","2.714","2024-09-19"
"2.74","2.722","2024-09-18"
"2.72","2.71","2024-09-17"
"2.68","2.671","2024-09-16"
"2.72","2.719","2024-09-13"
"2.74","2.748","2024-09-12"
"2.75","2.748","2024-09-11"
"2.73","2.727","2024-09-10"
"2.77","2.765","2024-09-09"
"2.8","2.805","2024-09-06"
"2.83","2.831","2024-09-05"
"2.86","2.855","2024-09-04"
"2.94","2.946","2024-09-03"
"3.03","3.036","2024-08-30"
"3.01","3.015","2024-08-29"
"2.97","2.971","2024-08-28"
"2.94","2.943","2024-08-27"
"2.95","2.951","2024-08-26"
"2.93","2.928","2024-08-23"
"2.98","2.977","2024-08-22"
"2.92","2.927","2024-08-21"
"2.93","2.929","2024-08-20"
"2.99","2.987","2024-08-19"
"2.98","2.983","2024-08-16"
"2.98","2.986","2024-08-15"
"2.91","2.922","2024-08-14"
"2.92","2.919","2024-08-13"
"2.98","2.979","2024-08-12"
"3.02","3.01","2024-08-09"
"3.07","3.066","2024-08-08"
"3.03","3.025","2024-08-07"
"3","2.999","2024-08-06"
"2.89","2.896","2024-08-02"
"3.02","3.021","2024-08-01"
"3.09","3.086","2024-07-31"
"3.16","3.154","2024-07-30"
"3.2","3.217","2024-07-29"
"3.23","3.234","2024-07-26"
"3.29","3.29","2024-07-25"
"3.3","3.305","2024-07-24"
"3.33","3.331","2024-07-23"
"3.37","3.364","2024-07-22"
"3.35","3.355","2024-07-19"
"3.34","3.346","2024-07-18"
"3.31","3.309","2024-07-17"
"3.32","3.315","2024-07-16"
"3.36","3.364","2024-07-15"
"3.37","3.371","2024-07-12"
"3.4","3.406","2024-07-11"
"3.46","3.46","2024-07-10"
"3.47","3.477","2024-07-09"
"3.46","3.466","2024-07-08"
"3.49","3.482","2024-07-05"
"3.6","3.615","2024-07-04"
"3.57","3.555","2024-07-03"
"3.6","3.597","2024-07-02"
"3.51","3.519","2024-06-28"
"3.51","3.51","2024-06-27"
"3.51","3.524","2024-06-26"
"3.41","3.421","2024-06-25"
"3.37","3.353","2024-06-24"
"3.36","3.367","2024-06-21"
"3.36","3.372","2024-06-20"
"3.31","3.301","2024-06-19"
"3.28","3.277","2024-06-18"
"3.34","3.339","2024-06-17"
"3.31","3.31","2024-06-14"
"3.34","3.344","2024-06-13"
"3.41","3.408","2024-06-12"
"3.49","3.498","2024-06-11"
"3.52","3.519","2024-06-10"
"3.5","3.497","2024-06-07"
"3.43","3.426","2024-06-06"
"3.41","3.422","2024-06-05"
"3.5","3.509","2024-06-04"
"3.58","3.567","2024-06-03"
"3.67","3.684","2024-05-31"
"3.76","3.765","2024-05-30"
"3.81","3.823","2024-05-29"
"3.76","3.772","2024-05-28"
"3.71","3.699","2024-05-27"
"3.68","3.699","2024-05-24"
"3.68","3.68","2024-05-23"
"3.66","3.658","2024-05-22"
"3.63","3.638","2024-05-21"
"3.69","3.693","2024-05-17"
"3.64","3.634","2024-05-16"
"3.64","3.634","2024-05-15"
"3.76","3.76","2024-05-14"
"3.76","3.758","2024-05-13"
"3.77","3.765","2024-05-10"
"3.68","3.685","2024-05-09"
"3.68","3.676","2024-05-08"
"3.63","3.641","2024-05-07"
"3.65","3.659","2024-05-06"
"3.67","3.679","2024-05-03"
"3.76","3.768","2024-05-02"
"3.81","3.802","2024-05-01"
"3.87","3.862","2024-04-30"
"3.81","3.801","2024-04-29"
"3.86","3.851","2024-04-26"
"3.89","3.903","2024-04-25"
"3.82","3.821","2024-04-24"
"3.79","3.792","2024-04-23"
"3.79","3.79","2024-04-22"
"3.77","3.781","2024-04-19"
"3.79","3.79","2024-04-18"
"3.73","3.727","2024-04-17"
"3.76","3.764","2024-04-16"
"3.77","3.771","2024-04-15"
"3.69","3.696","2024-04-12"
"3.77","3.784","2024-04-11"
"3.74","3.739","2024-04-10"
"3.59","3.597","2024-04-09"
"3.65","3.659","2024-04-08"
"3.62","3.617","2024-04-05"
"3.58","3.591","2024-04-04"
"3.62","3.618","2024-04-03"
"3.64","3.632","2024-04-02"
"3.64","3.634","2024-04-01"
"3.51","3.524","2024-03-28"
"3.5","3.491","2024-03-27"
"3.53","3.54","2024-03-26"
"3.51","3.521","2024-03-25"
"3.48","3.481","2024-03-22"
"3.55","3.559","2024-03-21"
"3.52","3.517","2024-03-20"
"3.57","3.557","2024-03-19"
"3.67","3.668","2024-03-18"
"3.62","3.617","2024-03-15"
"3.6","3.598","2024-03-14"
"3.5","3.506","2024-03-13"
"3.47","3.474","2024-03-12"
"3.42","3.428","2024-03-11"
"3.4","3.396","2024-03-08"
"3.44","3.438","2024-03-07"
"3.43","3.431","2024-03-06"
"3.43","3.43","2024-03-05"
"3.52","3.517","2024-03-04"
"3.5","3.496","2024-03-01"
"3.57","3.574","2024-02-29"
"3.6","3.603","2024-02-28"
"3.63","3.634","2024-02-27"
"3.57","3.582","2024-02-26"
"3.55","3.543","2024-02-23"
"3.61","3.626","2024-02-22"
"3.61","3.624","2024-02-21"
"3.58","3.594","2024-02-20"
"3.67","","2024-02-16"
"3.67","3.681","2024-02-15"
"3.69","3.688","2024-02-14"
"3.8","3.799","2024-02-13"
"3.69","3.709","2024-02-12"
"3.65","3.66","2024-02-09"
"3.66","3.647","2024-02-08"
"3.57","3.577","2024-02-07"
"3.52","3.521","2024-02-06"
"3.6","3.61","2024-02-05"
"3.48","3.477","2024-02-02"
"3.34","3.35","2024-02-01"
"3.43","3.402","2024-01-31"
"3.49","3.493","2024-01-30"
"3.51","3.514","2024-01-29"
"3.58","3.569","2024-01-26"
"3.52","3.521","2024-01-25"
"3.55","3.555","2024-01-24"
"3.53","3.525","2024-01-23"
"3.52","3.528","2024-01-22"
"3.57","3.561","2024-01-19"
"3.54","3.542","2024-01-18"
"3.51","3.506","2024-01-17"
"3.4","3.394","2024-01-16"
"3.27","3.283","2024-01-15"
"3.28","3.283","2024-01-12"
"3.31","3.313","2024-01-11"
"3.36","3.353","2024-01-10"
"3.32","3.334","2024-01-09"
"3.33","3.336","2024-01-08"
"3.36","3.36","2024-01-05"
"3.33","3.33","2024-01-04"
"3.24","3.25","2024-01-03"
"3.25","3.24","2024-01-02"
"3.17","3.17","2023-12-29"
"3.2","3.2","2023-12-28"
"3.18","3.18","2023-12-27"
"3.3","3.32","2023-12-22"
"3.23","3.24","2023-12-21"
"3.18","3.17","2023-12-20"
"3.26","3.27","2023-12-19"
"3.29","3.29","2023-12-18"
